(86.60254037844388,-49.99999999999999)
(80.82903768654762,-46.66666666666666)
(75.05553499465137,-43.33333333333332)
(69.28203230275511,-39.999999999999986)
(63.50852961085886,-36.66666666666665)
(57.7350269189626,-33.333333333333314)
(51.96152422706635,-29.999999999999982)
(46.188021535170094,-26.66666666666665)
(40.41451884327384,-23.333333333333318)
(34.641016151377585,-19.999999999999986)
(28.867513459481327,-16.666666666666654)
(23.09401076758507,-13.333333333333321)
(17.32050807568881,-9.99999999999999)
(11.547005383792552,-6.666666666666656)
(5.773502691896294,-3.3333333333333233)
(3.552713678800501e-14,9.769962616701378e-15)
(-5.773502691896223,3.333333333333343)
(-11.54700538379248,6.666666666666676)
(-17.32050807568874,10.000000000000009)
(-23.094010767584997,13.333333333333343)
(-28.867513459481255,16.666666666666675)
(-34.641016151377514,20.000000000000007)
(-40.41451884327377,23.33333333333334)
(-46.18802153517002,26.66666666666667)
(-51.96152422706628,30.000000000000004)
(-57.73502691896253,33.333333333333336)
(-63.50852961085879,36.66666666666667)
(-69.28203230275504,40.00000000000001)
(-75.0555349946513,43.33333333333334)
(-80.82903768654755,46.66666666666668)
(-86.6025403784438,50.000000000000014)
