(-150.0,-0.0)
(-139.6551724137931,0.0)
(-129.31034482758622,0.0)
(-118.96551724137933,0.0)
(-108.62068965517244,0.0)
(-98.27586206896555,0.0)
(-87.93103448275866,0.0)
(-77.58620689655177,0.0)
(-67.24137931034488,0.0)
(-56.896551724137986,0.0)
(-46.55172413793109,0.0)
(-36.20689655172419,0.0)
(-25.862068965517295,0.0)
(-15.517241379310398,0.0)
(-5.172413793103502,0.0)
(5.172413793103395,0.0)
(15.517241379310292,0.0)
(25.86206896551719,0.0)
(36.206896551724085,0.0)
(46.55172413793098,0.0)
(56.89655172413788,0.0)
(67.24137931034477,0.0)
(77.58620689655166,0.0)
(87.93103448275855,0.0)
(98.27586206896544,0.0)
(108.62068965517233,0.0)
(118.96551724137922,0.0)
(129.3103448275861,0.0)
(139.655172413793,0.0)
(149.9999999999999,0.0)
