(34.202014332566854,93.96926207859084)
(31.351846471519615,86.13849023870827)
(28.501678610472375,78.3077183988257)
(25.651510749425135,70.47694655894313)
(22.801342888377896,62.646174719060554)
(19.951175027330656,54.81540287917798)
(17.101007166283416,46.98463103929541)
(14.250839305236179,39.153859199412835)
(11.40067144418894,31.323087359530263)
(8.550503583141703,23.49231551964769)
(5.700335722094465,15.661543679765119)
(2.8501678610472267,7.830771839882548)
(-1.1546319456101628e-14,-2.3092638912203256e-14)
(-2.85016786104725,-7.830771839882594)
(-5.700335722094488,-15.661543679765165)
(-8.550503583141726,-23.492315519647736)
(-11.400671444188964,-31.323087359530305)
(-14.250839305236202,-39.15385919941288)
(-17.10100716628344,-46.98463103929545)
(-19.95117502733068,-54.81540287917802)
(-22.80134288837792,-62.646174719060596)
(-25.65151074942516,-70.47694655894317)
(-28.5016786104724,-78.30771839882574)
(-31.35184647151964,-86.13849023870831)
(-34.202014332566876,-93.96926207859089)
